#--------------------------------------------------------------
   573   -0.330    0.547  217.320 
   574   -0.243    0.544  227.201 
   575    0.443    0.539  239.912 
   576    1.537    0.556  200.440 
   577    1.205    0.541  242.104 
   578    1.807    0.542  265.845 
   579    1.833    0.550  249.625 
   580    1.972    0.539  241.077 
   581    1.120    0.527  255.690 
   582    1.005    0.539  237.037 
   583   -0.212    0.534  306.905 
   584    0.079    0.533  273.729 
   585    0.450    0.568  363.466 
   586    0.188    0.542  276.904 
   587    0.557    0.546  309.159 
   588    0.408    0.548  324.769 
   589    0.856    0.536  353.019 
   590    0.965    0.562  264.783 
   591    0.270    0.550  317.874 
   592    1.132    0.551  283.338 
   593    1.696    0.549  310.456 
   594    1.552    0.546  341.844 
   595    0.616    0.557  305.108 
   596    0.839    0.552  346.441 
   597    0.896    0.560  339.055 
   598    0.626    0.560  270.916 
   599    0.123    0.552  324.452 
   600   -0.446    0.555  343.989 
   601   -0.151    0.556  324.206 
   602   -1.015    0.555  345.790 
   603   -0.545    0.557  310.900 
   604    0.226    0.551  356.370 
   605   -0.321    0.546  377.960 
   606   -0.435    0.560  369.315 
   607    0.492    0.564  350.050 
   608    1.283    0.557  323.637 
   609    0.549    0.563  336.623 
   610    1.169    0.552  398.574 
   611    1.219    0.565  367.922 
   612    0.917    0.566  356.591 
   613    0.734    0.557  371.336 
   614    0.313    0.567  352.883 
   615   -0.274    0.560  383.326 
   616    0.411    0.560  388.897 
   617   -0.056    0.558  400.173 
   618   -0.703    0.562  415.746 
   619   -0.946    0.559  447.488 
   620   -0.072    0.561  425.053 
   621   -0.067    0.555  431.126 
   622   -0.377    0.568  426.805 
   623    0.576    0.568  437.050 
   624   -0.766    0.580  434.210 
   625    0.372    0.564  466.602 
   626    0.797    0.571  435.270 
   627    0.963    0.568  409.766 
   628    0.824    0.577  429.021 
   629    0.525    0.587  476.950 
   630   -0.106    0.570  473.535 
   631   -0.663    0.560  489.696 
   632   -1.525    0.566  513.709 
   633   -1.292    0.564  492.089 
   634   -1.842    0.579  470.569 
   635   -2.204    0.580  533.696 
   636   -2.125    0.575  523.800 
   637   -1.200    0.568  559.996 
   638   -0.165    0.569  531.615 
   639    0.100    0.560  621.458 
   640    0.495    0.567  556.116 
   641    1.499    0.564  588.461 
   642    1.393    0.582  580.313 
   643    1.977    0.588  596.173 
   644    1.173    0.600  523.321 
   645    1.097    0.570  561.644 
   646    0.820    0.580  578.531 
   647    0.670    0.571  632.896 
   648    0.324    0.566  624.998 
   649   -0.330    0.569  630.461 
   650   -0.415    0.566  652.035 
   651   -0.301    0.571  641.333 
   652    0.415    0.533  254.803 
   653   -0.391    0.529  254.827 
   654    0.218    0.541  212.556 
   655   -0.043    0.544  218.634 
   656    0.645    0.543  208.132 
   657    1.074    0.552  168.275 
   658    1.623    0.543  200.330 
   659    2.018    0.546  202.544 
   660    0.858    0.543  168.379 
   661    1.026    0.533  220.884 
   662   -0.657    0.536  218.596 
   663   -0.028    0.534  223.835 
   664   -0.962    0.539  183.929 
   665   -0.474    0.549  176.394 
   666   -0.798    0.546  177.633 
   667   -1.252    0.548  169.511 
   668   -1.069    0.547  185.538 
   669   -1.265    0.543  198.252 
   670   -0.744    0.541  212.311 
   671   -0.125    0.545  193.303 
   672    0.750    0.555  162.162 
   673    1.086    0.549  167.349 
   674    0.934    0.564  190.055 
   675    0.801    0.549  175.504 
   676    0.135    0.557  205.904 
   677    0.369    0.557  193.081 
   678   -0.145    0.564  182.168 
   679    0.196    0.541  183.060 
   680   -0.435    0.549  210.702 
   681   -0.002    0.555  183.390 
   682   -0.001    0.565  180.273 
   683   -0.329    0.567  187.129 
   684   -0.146    0.550  216.610 
